,RIFUSDT,KASUSDT,Spread,Z-Score
70,0.1367,0.04858,0.0006760000000000099,-1.414761267765428
71,0.1308,0.04889,-0.006091999999999986,-2.0137448768474298
72,0.1305,0.04824,-0.004571999999999993,-1.8214682768576604
73,0.1271,0.04728,-0.005284000000000011,-1.8440615980663595
74,0.1218,0.04681,-0.009267999999999985,-2.1281008342378023
75,0.1246,0.04701,-0.007027999999999993,-1.872856904202829
76,0.115,0.0469,-0.016319999999999987,-2.523787075316166
77,0.1141,0.0472,-0.018060000000000007,-2.504300271814018
78,0.1196,0.04648,-0.010543999999999984,-1.8508788350029914
79,0.1257,0.04632,-0.0039959999999999996,-1.3257866449243867
80,0.1276,0.04574,-0.0004720000000000002,-1.0573473478047364
81,0.1272,0.04597,-0.0015159999999999896,-1.1335746236785125
82,0.1227,0.04595,-0.005959999999999993,-1.4442674328443794
83,0.1208,0.046,-0.007999999999999993,-1.554487470063754
84,0.125,0.04628,-0.004584000000000005,-1.259715329686454
85,0.1211,0.04624,-0.008372000000000004,-1.4922060759753262
86,0.1184,0.04577,-0.009755999999999987,-1.5383056032701365
87,0.1218,0.04564,-0.0059919999999999835,-1.2358489784632545
88,0.1209,0.04589,-0.0075920000000000015,-1.3079253067852448
89,0.1191,0.04689,-0.012191999999999995,-1.5647426815717287
90,0.123,0.04663,-0.007563999999999987,-1.216678473797769
91,0.1222,0.04629,-0.007411999999999974,-1.1732601028898797
92,0.123,0.04661,-0.007507999999999987,-1.1445512514388851
93,0.1228,0.04703,-0.008883999999999989,-1.1929108682827416
94,0.1233,0.04736,-0.009307999999999969,-1.1790775689696373
95,0.1232,0.04705,-0.008539999999999992,-1.0923857867625595
96,0.1221,0.04617,-0.007176000000000002,-0.9723129065393559
97,0.1212,0.04546,-0.006087999999999982,-0.873565269697594
98,0.1208,0.0457,-0.007159999999999986,-0.9122724510220012
99,0.124,0.04626,-0.005528000000000005,-0.7833088418939491
100,0.1208,0.0464,-0.009119999999999975,-0.9793824374350172
101,0.1252,0.04719,-0.006931999999999994,-0.8157482834676005
102,0.128,0.04633,-0.0017240000000000033,-0.46806963934154033
103,0.1318,0.04698,0.0002560000000000062,-0.318890416590858
104,0.1253,0.04743,-0.007503999999999983,-0.7892593360783741
105,0.1246,0.04785,-0.009379999999999986,-0.8811200140150771
106,0.1252,0.04761,-0.008107999999999976,-0.7718674648464176
107,0.1248,0.04707,-0.006996000000000002,-0.6767848178514744
108,0.1307,0.04628,0.0011160000000000059,-0.13292826875208644
109,0.1263,0.04688,-0.004963999999999996,-0.5200784005768314
110,0.1275,0.04675,-0.0033999999999999864,-0.4039964616287993
111,0.1279,0.04684,-0.003251999999999977,-0.36601089074060655
112,0.1293,0.0468,-0.0017399999999999916,-0.23511259185853817
113,0.1269,0.04564,-0.0008919999999999761,-0.13323230128071792
114,0.1265,0.04588,-0.0019639999999999935,-0.1903303644761789
115,0.1287,0.04476,0.003372000000000014,0.2832589471130504
116,0.1281,0.04492,0.0023239999999999927,0.23375670755585
117,0.1289,0.04505,0.0027599999999999847,0.30283450190589356
118,0.129,0.04475,0.003700000000000009,0.4158269408114749
119,0.1308,0.04383,0.008076,0.8608939586059399
120,0.1314,0.04468,0.006295999999999996,0.7500321621378295
121,0.1304,0.045,0.004399999999999987,0.63542908163118
122,0.1295,0.04522,0.0028839999999999977,0.5339332887100643
123,0.124,0.04502,-0.0020559999999999745,0.053539086835084584
124,0.1238,0.04433,-0.00032400000000000484,0.3125519965682666
125,0.124,0.04515,-0.0024200000000000055,0.10185314745949178
126,0.1193,0.04405,-0.004039999999999988,-0.05899427337819474
127,0.1203,0.04389,-0.002591999999999983,0.2699353377810576
128,0.1224,0.04297,0.0020840000000000025,1.187683041993069
129,0.1166,0.04302,-0.0038559999999999983,0.10611788018912174
130,0.1165,0.04273,-0.00314399999999998,0.259059052857742
131,0.1172,0.04291,-0.0029479999999999784,0.28726508088597286
132,0.115,0.04262,-0.004335999999999979,0.014277709476913876
133,0.1292,0.04244,0.010368000000000016,2.6673126967831347
134,0.1346,0.04288,0.014536000000000007,3.0942211466990543
135,0.1331,0.04288,0.013036000000000006,2.6208103730571213
136,0.1339,0.04292,0.013724,2.588876453721432
137,0.1333,0.04259,0.014048000000000005,2.5346661653269864
138,0.1344,0.04267,0.014924000000000007,2.494989316224838
139,0.1327,0.04262,0.013364000000000029,2.134321694199602
140,0.1317,0.04228,0.013316000000000022,2.0203407911888625
141,0.133,0.04275,0.013300000000000006,1.9202425757754498
142,0.1316,0.04254,0.012487999999999999,1.7314760323206049
143,0.1311,0.04286,0.01109199999999999,1.491239041728914
144,0.1337,0.0431,0.013020000000000018,1.6631188154752818
145,0.1341,0.04314,0.013308000000000014,1.6301202091631262
146,0.1354,0.04293,0.015195999999999987,1.7840905735098633
147,0.1356,0.04233,0.017076000000000008,1.9130084061619659
148,0.1359,0.04275,0.016199999999999992,1.7315219930537626
149,0.1384,0.0428,0.018560000000000007,1.9239700438137661
150,0.1362,0.04281,0.016332,1.6022278217789732
151,0.132,0.0433,0.01076000000000002,0.9387813169508946
152,0.1313,0.04202,0.013644000000000003,1.2242947489803135
153,0.1321,0.04341,0.010552000000000006,0.8445846514091434
154,0.1287,0.0428,0.00886000000000002,0.6251744524345914
155,0.1269,0.04263,0.007536000000000015,0.4470139228439308
156,0.1266,0.04269,0.007068000000000005,0.3686680476959647
157,0.1254,0.04327,0.004244000000000012,0.010496213789123352
158,0.1238,0.04289,0.003708000000000003,-0.07761900410281394
159,0.1232,0.04264,0.0038080000000000197,-0.08555370249841361
160,0.1243,0.04287,0.004264000000000004,-0.0579629705642664
161,0.1258,0.04268,0.006295999999999996,0.1771367795372006
162,0.1285,0.043,0.008100000000000024,0.3930728911616826
163,0.1277,0.04355,0.005760000000000015,0.07457121507977887
164,0.1291,0.0436,0.0070199999999999985,0.21357977434669317
165,0.1307,0.04403,0.00741600000000002,0.2374106308494947
166,0.1287,0.04319,0.007768000000000025,0.2578766936423651
167,0.1294,0.04242,0.010623999999999995,0.6448710479686511
168,0.129,0.04285,0.009020000000000014,0.3890529408328934
169,0.1277,0.04335,0.00632000000000002,-0.041677180088470184
170,0.128,0.04396,0.004912000000000014,-0.28320239399203284
171,0.128,0.04487,0.002364000000000005,-0.7061848218743174
172,0.1275,0.04481,0.002032000000000006,-0.7770883117243541
173,0.1269,0.04408,0.0034760000000000207,-0.5637180275346392
174,0.1273,0.04369,0.004968,-0.3469984657414278
175,0.1274,0.04373,0.00495600000000003,-0.35407215827355704
176,0.1286,0.04379,0.005987999999999993,-0.19492372220864562
177,0.1281,0.04285,0.008120000000000002,0.14430896482295974
