Instrument-1,Instrument-2,p-value,t-value,critical value,hedge_ratio,Zero_crossings
POWRUSDT,APTUSDT,0.01,-3.82,-3.34,0.05,11
POWRUSDT,BAKEUSDT,0.01,-3.79,-3.34,0.43,11
POWRUSDT,BATUSDT,0.0,-4.12,-3.34,0.28,11
POWRUSDT,DGBUSDT,0.01,-4.05,-3.34,13.62,11
USDCUSDT,LOOKSUSDT,0.02,-3.61,-3.34,0.35,11
POWRUSDT,FXSUSDT,0.0,-4.27,-3.34,0.01,11
STRAXUSDT,RENUSDT,0.01,-4.07,-3.34,1.22,11
USDCUSDT,PROMUSDT,0.0,-4.43,-3.34,0.24,11
STRAXUSDT,LQTYUSDT,0.03,-3.52,-3.34,0.47,11
TIAUSDT,MDTUSDT,0.0,-4.82,-3.34,272.05,11
TOMIUSDT,TONUSDT,0.04,-3.47,-3.34,0.98,11
SANDUSDT,RDNTUSDT,0.04,-3.47,-3.34,13.31,11
TRBUSDT,FLRUSDT,0.04,-3.41,-3.34,688.3,11
STEEMUSDT,BNTUSDT,0.03,-3.51,-3.34,0.53,11
TRXUSDT,ARUSDT,0.01,-3.89,-3.34,0.0,11
TIAUSDT,MAVUSDT,0.0,-4.84,-3.34,39.94,11
STRAXUSDT,ARUSDT,0.02,-3.73,-3.34,0.02,11
RPLUSDT,MNTUSDT,0.03,-3.49,-3.34,95.32,11
PENDLEUSDT,SHIB1000USDT,0.03,-3.58,-3.34,57.12,11
PERPUSDT,KDAUSDT,0.01,-3.94,-3.34,0.12,10
PERPUSDT,IDUSDT,0.01,-3.97,-3.34,1.11,10
PERPUSDT,LOOMUSDT,0.01,-4.05,-3.34,4.06,10
XLMUSDT,GMTUSDT,0.04,-3.45,-3.34,0.14,10
WAVESUSDT,ALICEUSDT,0.01,-3.92,-3.34,1.03,10
WAVESUSDT,AKROUSDT,0.0,-4.37,-3.34,3556.13,10
PERPUSDT,HBARUSDT,0.01,-4.03,-3.34,1.81,10
PERPUSDT,OMGUSDT,0.01,-3.94,-3.34,0.05,10
PERPUSDT,GRTUSDT,0.01,-3.93,-3.34,1.11,10
SOLUSDT,DOGEUSDT,0.03,-3.56,-3.34,2350.24,10
10000STARLUSDT,CHZUSDT,0.0,-5.26,-3.34,0.09,10
PERPUSDT,FLOWUSDT,0.04,-3.46,-3.34,0.06,10
PERPUSDT,FLRUSDT,0.01,-4.08,-3.34,20.16,10
USDCUSDT,ETHUSDT,0.01,-4.05,-3.34,0.0,9
PERPUSDT,BALUSDT,0.0,-4.25,-3.34,0.05,9
TRXUSDT,1000XECUSDT,0.01,-3.8,-3.34,1.5,9
USDCUSDT,DGBUSDT,0.01,-4.05,-3.34,45.01,9
POWRUSDT,ANKRUSDT,0.01,-4.02,-3.34,2.99,9
TRXUSDT,ARPAUSDT,0.02,-3.64,-3.34,2.01,9
TRXUSDT,GPTUSDT,0.05,-3.35,-3.34,1.37,9
TIAUSDT,HIGHUSDT,0.0,-4.81,-3.34,4.95,9
TIAUSDT,ICXUSDT,0.0,-4.82,-3.34,23.63,9
VRAUSDT,CTSIUSDT,0.02,-3.75,-3.34,0.02,9
POWRUSDT,MULTIUSDT,0.03,-3.51,-3.34,0.15,9
TRXUSDT,ACHUSDT,0.01,-3.82,-3.34,3.81,9
USDCUSDT,BAKEUSDT,0.04,-3.46,-3.34,1.45,9
TRXUSDT,CELOUSDT,0.03,-3.5,-3.34,0.03,9
SWEATUSDT,COREUSDT,0.04,-3.43,-3.34,0.01,9
POWRUSDT,COMBOUSDT,0.0,-4.43,-3.34,0.41,9
POWRUSDT,COMPUSDT,0.0,-4.18,-3.34,0.0,9
TIAUSDT,DGBUSDT,0.0,-4.87,-3.34,540.88,9
USDCUSDT,MTLUSDT,0.01,-4.0,-3.34,0.54,9
USDCUSDT,MAVUSDT,0.05,-3.36,-3.34,3.19,9
POWRUSDT,KSMUSDT,0.01,-4.03,-3.34,0.0,9
TIAUSDT,IDUSDT,0.0,-4.96,-3.34,21.09,9
TIAUSDT,EGLDUSDT,0.0,-4.86,-3.34,0.04,9
TRXUSDT,COREUSDT,0.04,-3.46,-3.34,0.04,9
SUIUSDT,SHIB1000USDT,0.02,-3.74,-3.34,68.37,9
USDCUSDT,IOSTUSDT,0.01,-4.07,-3.34,22.37,9
POWRUSDT,FLOWUSDT,0.0,-4.42,-3.34,0.03,9
XMRUSDT,ICXUSDT,0.05,-3.35,-3.34,353.05,9
TIAUSDT,DYDXUSDT,0.0,-4.85,-3.34,0.77,9
USDCUSDT,NTRNUSDT,0.0,-4.2,-3.34,1.33,9
USDCUSDT,ALPHAUSDT,0.0,-4.78,-3.34,3.09,9
WAVESUSDT,FORTHUSDT,0.0,-4.64,-3.34,6.0,9
PERPUSDT,EDUUSDT,0.01,-4.02,-3.34,0.67,9
RIFUSDT,HBARUSDT,0.04,-3.4,-3.34,0.35,9
XVSUSDT,LQTYUSDT,0.01,-3.84,-3.34,2.62,9
10000STARLUSDT,ICXUSDT,0.0,-5.79,-3.34,0.07,9
TUSDT,MNTUSDT,0.01,-3.86,-3.34,0.07,9
STRAXUSDT,COREUSDT,0.0,-4.8,-3.34,0.39,9
TIAUSDT,ADAUSDT,0.0,-4.85,-3.34,7.02,9
PERPUSDT,APTUSDT,0.0,-4.43,-3.34,0.11,9
WAVESUSDT,ICPUSDT,0.02,-3.68,-3.34,0.34,9
STRAXUSDT,BOBAUSDT,0.0,-4.16,-3.34,0.92,9
PERPUSDT,IOSTUSDT,0.01,-3.95,-3.34,14.09,9
WAVESUSDT,GFTUSDT,0.01,-3.87,-3.34,229.1,9
WAVESUSDT,AGLDUSDT,0.03,-3.47,-3.34,23.26,9
STRAXUSDT,CTSIUSDT,0.02,-3.66,-3.34,2.88,9
PROMUSDT,IOSTUSDT,0.01,-4.08,-3.34,92.25,9
TIAUSDT,1000BONKUSDT,0.0,-4.85,-3.34,12104.74,9
SHIB1000USDT,CELOUSDT,0.02,-3.65,-3.34,0.0,9
WAVESUSDT,ASTRUSDT,0.0,-4.26,-3.34,83.2,9
POWRUSDT,IOSTUSDT,0.0,-4.79,-3.34,7.08,9
TIAUSDT,COMPUSDT,0.0,-4.84,-3.34,0.03,9
PROMUSDT,GRTUSDT,0.04,-3.42,-3.34,7.28,9
WAVESUSDT,BAKEUSDT,0.01,-4.06,-3.34,20.86,9
STRAXUSDT,DGBUSDT,0.0,-4.33,-3.34,41.29,9
10000STARLUSDT,LTCUSDT,0.0,-5.37,-3.34,0.0,9
PERPUSDT,LUNA2USDT,0.0,-4.7,-3.34,0.21,9
PERPUSDT,LINAUSDT,0.0,-4.79,-3.34,43.9,9
WAVESUSDT,DYDXUSDT,0.01,-3.96,-3.34,0.93,9
TIAUSDT,BSVUSDT,0.0,-4.87,-3.34,0.12,9
10000STARLUSDT,ARKUSDT,0.0,-4.9,-3.34,0.02,8
WAVESUSDT,IDUSDT,0.02,-3.67,-3.34,27.03,8
PERPUSDT,GLMRUSDT,0.0,-4.13,-3.34,0.21,8
MAGICUSDT,10000NFTUSDT,0.0,-6.54,-3.34,138.67,8
WAVESUSDT,FRONTUSDT,0.0,-4.22,-3.34,49.83,8
TIAUSDT,ARKUSDT,0.0,-4.83,-3.34,5.86,8
RPLUSDT,JOEUSDT,0.05,-3.36,-3.34,91.95,8
PERPUSDT,ARKUSDT,0.04,-3.39,-3.34,0.27,8
USDCUSDT,ARKUSDT,0.03,-3.58,-3.34,0.43,8
USDCUSDT,COMPUSDT,0.0,-4.38,-3.34,0.0,8
WAVESUSDT,APTUSDT,0.0,-5.06,-3.34,2.67,7
WAVESUSDT,CELRUSDT,0.01,-3.93,-3.34,145.15,7
TIAUSDT,CELOUSDT,0.0,-4.81,-3.34,3.79,7
TIAUSDT,CELRUSDT,0.0,-4.85,-3.34,116.0,7
TOMIUSDT,AVAXUSDT,0.02,-3.62,-3.34,0.02,7
SLPUSDT,APTUSDT,0.03,-3.54,-3.34,0.01,7
PROMUSDT,KDAUSDT,0.01,-4.1,-3.34,0.78,7
TIAUSDT,IOTAUSDT,0.0,-4.88,-3.34,12.83,7
10000STARLUSDT,LUNA2USDT,0.0,-6.76,-3.34,0.01,7
TIAUSDT,IOSTUSDT,0.0,-4.89,-3.34,275.02,7
STEEMUSDT,KAVAUSDT,0.0,-4.24,-3.34,0.07,7
POWRUSDT,JOEUSDT,0.01,-3.82,-3.34,0.66,7
SNTUSDT,GFTUSDT,0.05,-3.36,-3.34,0.66,7
PERPUSDT,CELRUSDT,0.0,-4.13,-3.34,5.95,7
WSMUSDT,DARUSDT,0.01,-3.82,-3.34,0.04,7
TIAUSDT,IMXUSDT,0.0,-4.87,-3.34,2.36,7
USDCUSDT,ADAUSDT,0.0,-4.31,-3.34,0.56,7
PERPUSDT,OGUSDT,0.0,-5.99,-3.34,0.11,7
TIAUSDT,MASKUSDT,0.0,-4.92,-3.34,1.19,7
TIAUSDT,CROUSDT,0.0,-4.85,-3.34,22.14,7
POWRUSDT,1000XECUSDT,0.01,-3.85,-3.34,4.95,7
VGXUSDT,DODOUSDT,0.0,-4.27,-3.34,0.6,7
TIAUSDT,CVCUSDT,0.0,-4.92,-3.34,36.98,7
USDCUSDT,RENUSDT,0.0,-4.48,-3.34,1.3,7
TIAUSDT,CYBERUSDT,0.0,-4.91,-3.34,2.2,7
PROMUSDT,COMPUSDT,0.03,-3.53,-3.34,0.01,7
WAVESUSDT,DENTUSDT,0.0,-4.31,-3.34,5922.6,7
TIAUSDT,BSWUSDT,0.0,-4.85,-3.34,13.38,7
USDCUSDT,AVAXUSDT,0.03,-3.51,-3.34,0.01,7
SSVUSDT,MATICUSDT,0.01,-3.84,-3.34,14.99,7
PERPUSDT,1INCHUSDT,0.0,-4.11,-3.34,0.28,7
TIAUSDT,LOOMUSDT,0.0,-4.85,-3.34,78.62,7
RIFUSDT,LQTYUSDT,0.03,-3.53,-3.34,0.06,7
TRBUSDT,IOSTUSDT,0.0,-4.2,-3.34,459.25,7
TRXUSDT,QTUMUSDT,0.04,-3.46,-3.34,0.01,7
TRXUSDT,LRCUSDT,0.03,-3.58,-3.34,0.04,7
TIAUSDT,ALICEUSDT,0.0,-4.82,-3.34,0.82,7
PERPUSDT,GFTUSDT,0.0,-4.85,-3.34,9.72,7
RIFUSDT,COMPUSDT,0.03,-3.57,-3.34,0.0,7
RIFUSDT,ADAUSDT,0.03,-3.54,-3.34,0.07,7
SNXUSDT,ACHUSDT,0.04,-3.45,-3.34,259.16,7
TIAUSDT,KEYUSDT,0.0,-5.14,-3.34,1975.8,7
TIAUSDT,ACHUSDT,0.0,-4.82,-3.34,509.96,7
WAVESUSDT,JOEUSDT,0.0,-4.25,-3.34,32.63,7
RENUSDT,BSVUSDT,0.02,-3.65,-3.34,0.01,7
XVSUSDT,NTRNUSDT,0.03,-3.54,-3.34,8.01,7
TIAUSDT,1INCHUSDT,0.0,-4.91,-3.34,5.49,7
PERPUSDT,IDEXUSDT,0.01,-3.92,-3.34,10.34,7
WAVESUSDT,HIGHUSDT,0.0,-4.14,-3.34,6.18,7
TIAUSDT,BOBAUSDT,0.0,-4.83,-3.34,12.7,7
RPLUSDT,GLMRUSDT,0.03,-3.48,-3.34,14.16,7
OXTUSDT,IOSTUSDT,0.01,-3.79,-3.34,1.82,7
TIAUSDT,JSTUSDT,0.0,-4.83,-3.34,207.3,7
PROMUSDT,NTRNUSDT,0.0,-4.28,-3.34,5.67,7
POWRUSDT,BALUSDT,0.0,-4.29,-3.34,0.03,7
TRXUSDT,MTLUSDT,0.04,-3.43,-3.34,0.05,7
PERPUSDT,BOBAUSDT,0.02,-3.6,-3.34,0.67,7
TIAUSDT,FITFIUSDT,0.0,-4.82,-3.34,192.11,7
RNDRUSDT,ETCUSDT,0.05,-3.37,-3.34,0.06,7
POWRUSDT,MASKUSDT,0.0,-4.31,-3.34,0.03,7
USDCUSDT,MINAUSDT,0.01,-3.83,-3.34,0.54,7
USDCUSDT,BOBAUSDT,0.01,-3.84,-3.34,1.03,7
POWRUSDT,DASHUSDT,0.0,-4.36,-3.34,0.0,7
SUIUSDT,WAXPUSDT,0.03,-3.5,-3.34,13.13,7
PENDLEUSDT,BOBAUSDT,0.04,-3.43,-3.34,0.77,7
STRAXUSDT,1000XECUSDT,0.02,-3.61,-3.34,14.79,7
TIAUSDT,EDUUSDT,0.0,-4.83,-3.34,13.22,7
TIAUSDT,GASUSDT,0.0,-4.83,-3.34,1.47,7
POWRUSDT,EDUUSDT,0.03,-3.53,-3.34,0.33,7
USDCUSDT,GRTUSDT,0.01,-4.1,-3.34,1.76,7
TRXUSDT,COMBOUSDT,0.03,-3.48,-3.34,0.12,7
RPLUSDT,ZRXUSDT,0.01,-3.8,-3.34,67.3,7
TIAUSDT,GLMRUSDT,0.0,-4.84,-3.34,3.92,7
USDCUSDT,IOTXUSDT,0.0,-4.39,-3.34,7.17,7
TIAUSDT,GMTUSDT,0.0,-4.82,-3.34,5.23,7
SFPUSDT,CVXUSDT,0.02,-3.62,-3.34,0.1,7
TIAUSDT,DENTUSDT,0.0,-4.94,-3.34,4261.7,7
POWRUSDT,FLRUSDT,0.0,-4.65,-3.34,10.38,7
USDCUSDT,OXTUSDT,0.0,-4.18,-3.34,11.66,7
USDCUSDT,OMGUSDT,0.0,-4.12,-3.34,0.08,7
XEMUSDT,DGBUSDT,0.01,-3.88,-3.34,5.97,7
USDCUSDT,BALUSDT,0.02,-3.6,-3.34,0.09,7
POWRUSDT,IDEXUSDT,0.02,-3.7,-3.34,5.27,7
POWRUSDT,CELRUSDT,0.01,-4.08,-3.34,2.95,7
SANDUSDT,HOOKUSDT,0.02,-3.66,-3.34,1.98,7
STPTUSDT,BNTUSDT,0.04,-3.43,-3.34,0.14,6
WAVESUSDT,CRVUSDT,0.0,-4.14,-3.34,3.76,6
YFIIUSDT,BSWUSDT,0.05,-3.35,-3.34,471.26,6
USDCUSDT,BSWUSDT,0.03,-3.56,-3.34,1.02,6
WAVESUSDT,MAGICUSDT,0.0,-4.36,-3.34,0.35,6
WAVESUSDT,ENJUSDT,0.02,-3.75,-3.34,5.46,6
WAVESUSDT,NEARUSDT,0.04,-3.38,-3.34,1.68,6
RUNEUSDT,JSTUSDT,0.01,-3.83,-3.34,141.68,6
10000STARLUSDT,BSWUSDT,0.0,-4.89,-3.34,0.04,6
PERPUSDT,ICXUSDT,0.0,-4.2,-3.34,1.19,5
TIAUSDT,KAVAUSDT,0.0,-4.82,-3.34,3.31,5
TIAUSDT,AAVEUSDT,0.0,-4.83,-3.34,0.03,5
RDNTUSDT,BOBAUSDT,0.01,-3.79,-3.34,0.36,5
TRXUSDT,BOBAUSDT,0.02,-3.72,-3.34,0.1,5
USDCUSDT,DODOUSDT,0.04,-3.39,-3.34,4.42,5
TIAUSDT,KDAUSDT,0.0,-4.83,-3.34,2.32,5
POWRUSDT,GRTUSDT,0.0,-4.28,-3.34,0.56,5
RPLUSDT,CTSIUSDT,0.04,-3.38,-3.34,136.18,5
10000STARLUSDT,NTRNUSDT,0.0,-5.04,-3.34,0.05,5
TIAUSDT,LITUSDT,0.0,-4.93,-3.34,4.02,5
SNTUSDT,LUNA2USDT,0.0,-4.22,-3.34,0.01,5
POWRUSDT,LITUSDT,0.02,-3.73,-3.34,0.11,5
TIAUSDT,API3USDT,0.0,-4.97,-3.34,2.39,5
ZRXUSDT,KLAYUSDT,0.02,-3.6,-3.34,0.46,5
TRBUSDT,ADAUSDT,0.03,-3.55,-3.34,11.62,5
STRAXUSDT,FLOWUSDT,0.02,-3.7,-3.34,0.08,5
STRAXUSDT,HOTUSDT,0.0,-4.15,-3.34,210.77,5
TIAUSDT,ANKRUSDT,0.0,-4.83,-3.34,118.48,5
TRBUSDT,KDAUSDT,0.0,-4.53,-3.34,3.5,5
WAVESUSDT,NKNUSDT,0.01,-4.03,-3.34,147.75,5
USDCUSDT,CTSIUSDT,0.0,-4.53,-3.34,3.1,5
PERPUSDT,DARUSDT,0.0,-4.45,-3.34,1.12,5
RIFUSDT,GRTUSDT,0.04,-3.45,-3.34,0.21,5
TRBUSDT,LQTYUSDT,0.04,-3.44,-3.34,9.91,5
USDCUSDT,FXSUSDT,0.01,-3.92,-3.34,0.04,5
RIFUSDT,OMGUSDT,0.01,-3.79,-3.34,0.01,5
WAXPUSDT,BOBAUSDT,0.03,-3.48,-3.34,0.06,5
WAVESUSDT,LQTYUSDT,0.01,-3.92,-3.34,7.45,5
SSVUSDT,KNCUSDT,0.01,-4.02,-3.34,12.09,5
RIFUSDT,CELRUSDT,0.04,-3.47,-3.34,1.13,5
SSVUSDT,PROMUSDT,0.04,-3.46,-3.34,7.51,5
XVSUSDT,DASHUSDT,0.01,-3.8,-3.34,0.03,5
RPLUSDT,ARUSDT,0.02,-3.74,-3.34,1.0,5
TRBUSDT,OMGUSDT,0.03,-3.58,-3.34,1.59,5
TIAUSDT,MINAUSDT,0.0,-4.86,-3.34,6.42,5
TRXUSDT,ASTRUSDT,0.04,-3.39,-3.34,0.56,5
TIAUSDT,GRTUSDT,0.0,-4.9,-3.34,21.31,5
POWRUSDT,RADUSDT,0.0,-4.35,-3.34,0.21,5
WAVESUSDT,FXSUSDT,0.01,-4.05,-3.34,0.55,5
WAVESUSDT,AUCTIONUSDT,0.01,-3.87,-3.34,3.26,5
USDCUSDT,MASKUSDT,0.02,-3.73,-3.34,0.1,5
USDCUSDT,1INCHUSDT,0.03,-3.5,-3.34,0.45,5
USDCUSDT,MNTUSDT,0.0,-4.6,-3.34,2.07,5
POWRUSDT,CTKUSDT,0.01,-4.02,-3.34,0.21,5
POWRUSDT,MAVUSDT,0.01,-3.87,-3.34,1.0,5
PROMUSDT,CELRUSDT,0.02,-3.71,-3.34,38.74,5
TIAUSDT,COREUSDT,0.0,-4.85,-3.34,5.19,5
POWRUSDT,1000LUNCUSDT,0.02,-3.71,-3.34,1.18,5
PERPUSDT,COMBOUSDT,0.0,-4.13,-3.34,0.83,5
POWRUSDT,OMGUSDT,0.0,-4.46,-3.34,0.03,5
POWRUSDT,MINAUSDT,0.01,-4.02,-3.34,0.16,5
SHIB1000USDT,BOBAUSDT,0.03,-3.56,-3.34,0.01,5
TIAUSDT,HOTUSDT,0.0,-4.86,-3.34,2755.29,5
POWRUSDT,MTLUSDT,0.03,-3.57,-3.34,0.17,5
TRXUSDT,APTUSDT,0.0,-4.19,-3.34,0.02,5
TIAUSDT,CTSIUSDT,0.0,-4.82,-3.34,40.4,5
POWRUSDT,ARPAUSDT,0.04,-3.4,-3.34,6.79,5
USDCUSDT,ARUSDT,0.0,-4.25,-3.34,0.02,5
BIGTIMEUSDT,10000NFTUSDT,0.0,-4.53,-3.34,17.95,5
SHIB1000USDT,CVXUSDT,0.02,-3.67,-3.34,0.0,5
TIAUSDT,OMGUSDT,0.0,-4.86,-3.34,1.0,5
QNTUSDT,KDAUSDT,0.04,-3.38,-3.34,23.37,5
TIAUSDT,LUNA2USDT,0.0,-4.91,-3.34,3.67,5
SNTUSDT,DARUSDT,0.02,-3.65,-3.34,0.08,5
TRXUSDT,ICXUSDT,0.02,-3.7,-3.34,0.18,5
WAVESUSDT,FLOWUSDT,0.0,-4.32,-3.34,1.39,5
PERPUSDT,LOOKSUSDT,0.0,-4.65,-3.34,0.23,5
WAVESUSDT,CTSIUSDT,0.01,-4.04,-3.34,46.9,5
USDCUSDT,KDAUSDT,0.0,-4.17,-3.34,0.19,5
QNTUSDT,MASKUSDT,0.04,-3.43,-3.34,12.65,5
TIAUSDT,C98USDT,0.0,-4.83,-3.34,3.99,5
RPLUSDT,RUNEUSDT,0.01,-3.99,-3.34,4.31,5
SNTUSDT,LINAUSDT,0.03,-3.56,-3.34,2.98,5
POWRUSDT,ANTUSDT,0.01,-3.81,-3.34,0.04,4
WAVESUSDT,HNTUSDT,0.01,-4.05,-3.34,0.67,4
VETUSDT,JSTUSDT,0.02,-3.67,-3.34,1.74,4
10000STARLUSDT,MAGICUSDT,0.0,-4.97,-3.34,0.0,4
WAVESUSDT,FITFIUSDT,0.02,-3.64,-3.34,184.16,4
STPTUSDT,BSWUSDT,0.01,-3.79,-3.34,0.07,4
WAVESUSDT,ETCUSDT,0.0,-4.51,-3.34,0.31,4
POWRUSDT,ENJUSDT,0.04,-3.39,-3.34,0.11,4
WAVESUSDT,10000NFTUSDT,0.0,-4.84,-3.34,891.34,4
TIAUSDT,MAGICUSDT,0.0,-4.82,-3.34,0.31,4
RENUSDT,JSTUSDT,0.02,-3.69,-3.34,10.96,4
PERPUSDT,MAGICUSDT,0.0,-4.31,-3.34,0.01,4
TRBUSDT,MNTUSDT,0.0,-5.23,-3.34,51.22,4
PERPUSDT,C98USDT,0.0,-4.17,-3.34,0.2,4
WAXPUSDT,MAVUSDT,0.03,-3.5,-3.34,0.2,3
TIAUSDT,BAKEUSDT,0.0,-4.87,-3.34,16.93,3
WAXPUSDT,ICXUSDT,0.04,-3.44,-3.34,0.11,3
QNTUSDT,C98USDT,0.03,-3.54,-3.34,40.59,3
TIAUSDT,ASTRUSDT,0.0,-4.82,-3.34,74.21,3
TIAUSDT,ARBUSDT,0.0,-5.03,-3.34,9.68,3
WAXPUSDT,HIGHUSDT,0.04,-3.41,-3.34,0.02,3
SUIUSDT,BOBAUSDT,0.0,-4.5,-3.34,1.01,3
SSVUSDT,EOSUSDT,0.03,-3.56,-3.34,6.71,3
SHIB1000USDT,ACHUSDT,0.02,-3.73,-3.34,0.33,3
SFPUSDT,STRAXUSDT,0.0,-4.15,-3.34,1.29,3
ZRXUSDT,PROMUSDT,0.02,-3.76,-3.34,0.14,3
SANDUSDT,ARPAUSDT,0.03,-3.54,-3.34,87.75,3
RPLUSDT,FLOWUSDT,0.0,-4.14,-3.34,3.99,3
ZRXUSDT,EOSUSDT,0.01,-3.9,-3.34,0.12,3
ZRXUSDT,FILUSDT,0.02,-3.7,-3.34,0.01,3
QNTUSDT,FLOWUSDT,0.05,-3.37,-3.34,11.46,3
QNTUSDT,CTSIUSDT,0.01,-3.99,-3.34,383.77,3
PROMUSDT,ADAUSDT,0.01,-4.06,-3.34,2.32,3
TIAUSDT,CEEKUSDT,0.0,-4.83,-3.34,61.82,3
POWRUSDT,HFTUSDT,0.0,-4.12,-3.34,0.55,3
POWRUSDT,HBARUSDT,0.01,-3.77,-3.34,0.93,3
POWRUSDT,GPTUSDT,0.0,-4.21,-3.34,4.22,3
POWRUSDT,CVXUSDT,0.01,-3.95,-3.34,0.02,3
POWRUSDT,CTSIUSDT,0.03,-3.54,-3.34,0.95,3
POWRUSDT,C98USDT,0.01,-3.88,-3.34,0.1,3
POWRUSDT,BSVUSDT,0.01,-3.93,-3.34,0.0,3
POWRUSDT,BOBAUSDT,0.01,-3.93,-3.34,0.3,3
POWRUSDT,ARUSDT,0.01,-4.01,-3.34,0.01,3
POWRUSDT,API3USDT,0.0,-4.47,-3.34,0.06,3
POWRUSDT,ADAUSDT,0.0,-4.32,-3.34,0.18,3
POWRUSDT,1INCHUSDT,0.0,-4.14,-3.34,0.14,3
PERPUSDT,GPTUSDT,0.03,-3.51,-3.34,9.42,3
PERPUSDT,CVXUSDT,0.0,-4.25,-3.34,0.04,3
TIAUSDT,AUDIOUSDT,0.0,-4.91,-3.34,7.55,3
TIAUSDT,1000LUNCUSDT,0.0,-4.93,-3.34,45.35,3
TIAUSDT,COMBOUSDT,0.0,-4.86,-3.34,16.15,3
USDCUSDT,CEEKUSDT,0.0,-4.16,-3.34,4.94,3
WAXPUSDT,GFTUSDT,0.0,-4.31,-3.34,0.9,3
WAXPUSDT,COMBOUSDT,0.01,-4.02,-3.34,0.08,3
XVSUSDT,IOSTUSDT,0.01,-4.09,-3.34,118.98,3
WAVESUSDT,KDAUSDT,0.0,-4.29,-3.34,2.66,3
WAVESUSDT,KAVAUSDT,0.0,-4.11,-3.34,4.51,3
WAVESUSDT,IOTAUSDT,0.0,-4.28,-3.34,16.41,3
WAVESUSDT,HBARUSDT,0.01,-4.07,-3.34,46.05,3
WAVESUSDT,GRTUSDT,0.02,-3.61,-3.34,27.18,3
WAVESUSDT,EDUUSDT,0.02,-3.73,-3.34,16.21,3
WAVESUSDT,COMBOUSDT,0.04,-3.4,-3.34,20.2,3
TIAUSDT,CVXUSDT,0.0,-4.82,-3.34,0.72,3
WAVESUSDT,ALPHAUSDT,0.01,-4.09,-3.34,44.18,3
VGXUSDT,LINAUSDT,0.0,-4.18,-3.34,9.08,3
WAVESUSDT,AMBUSDT,0.04,-3.45,-3.34,2157.92,3
USDCUSDT,AGLDUSDT,0.03,-3.53,-3.34,1.5,3
TRBUSDT,GRTUSDT,0.04,-3.43,-3.34,36.29,3
TIAUSDT,DARUSDT,0.0,-4.97,-3.34,18.13,3
TIAUSDT,FLOWUSDT,0.0,-4.84,-3.34,1.12,3
TIAUSDT,FXSUSDT,0.0,-4.86,-3.34,0.48,3
TIAUSDT,GPTUSDT,0.0,-4.85,-3.34,172.27,3
TIAUSDT,LOOKSUSDT,0.0,-4.85,-3.34,4.9,3
TUSDT,FILUSDT,0.02,-3.6,-3.34,0.0,3
TIAUSDT,LQTYUSDT,0.0,-4.94,-3.34,5.96,3
TRXUSDT,AGLDUSDT,0.05,-3.37,-3.34,0.14,3
TRXUSDT,BAKEUSDT,0.05,-3.37,-3.34,0.14,3
STPTUSDT,OGUSDT,0.01,-3.83,-3.34,0.01,3
TOMIUSDT,FITFIUSDT,0.04,-3.4,-3.34,35.71,2
POWRUSDT,BSWUSDT,0.0,-4.24,-3.34,0.31,2
POWRUSDT,EGLDUSDT,0.02,-3.75,-3.34,0.0,2
PERPUSDT,BSWUSDT,0.0,-4.12,-3.34,0.63,2
WAVESUSDT,BSWUSDT,0.02,-3.66,-3.34,14.74,2
STPTUSDT,TIAUSDT,0.01,-3.87,-3.34,0.0,2
WAVESUSDT,LDOUSDT,0.02,-3.61,-3.34,7.61,2
PERPUSDT,CHZUSDT,0.01,-4.11,-3.34,1.57,2
10000STARLUSDT,FITFIUSDT,0.0,-4.95,-3.34,0.53,2
XTZUSDT,FITFIUSDT,0.04,-3.45,-3.34,34.66,2
PERPUSDT,FITFIUSDT,0.01,-3.93,-3.34,9.2,2
ZRXUSDT,JSTUSDT,0.03,-3.5,-3.34,8.81,1
STRAXUSDT,CVXUSDT,0.0,-4.47,-3.34,0.05,1
WSMUSDT,LUNA2USDT,0.02,-3.7,-3.34,0.01,1
RPLUSDT,ASTRUSDT,0.01,-3.9,-3.34,253.31,1
TOMIUSDT,TRBUSDT,0.03,-3.59,-3.34,0.07,1
TIAUSDT,BNXUSDT,0.0,-4.85,-3.34,0.25,1
SWEATUSDT,BNXUSDT,0.0,-4.58,-3.34,0.0,1
SUIUSDT,BTCUSDT,0.0,-4.34,-3.34,0.0,1
STRAXUSDT,ICXUSDT,0.01,-3.95,-3.34,1.71,1
STRAXUSDT,GLMRUSDT,0.03,-3.5,-3.34,0.3,1
STRAXUSDT,ALPHAUSDT,0.01,-3.97,-3.34,2.8,1
STPTUSDT,BNXUSDT,0.02,-3.73,-3.34,0.0,1
SSVUSDT,OXTUSDT,0.04,-3.41,-3.34,357.15,1
SNTUSDT,BNXUSDT,0.01,-3.87,-3.34,0.0,1
SHIB1000USDT,APTUSDT,0.04,-3.38,-3.34,0.0,1
RPLUSDT,RENUSDT,0.03,-3.52,-3.34,57.54,1
RPLUSDT,1000XECUSDT,0.05,-3.36,-3.34,698.7,1
TRXUSDT,DODOUSDT,0.01,-3.86,-3.34,0.41,1
RIFUSDT,EDUUSDT,0.03,-3.52,-3.34,0.13,1
RDNTUSDT,CVXUSDT,0.0,-4.95,-3.34,0.02,1
PROMUSDT,OMGUSDT,0.02,-3.73,-3.34,0.34,1
PROMUSDT,AXSUSDT,0.0,-4.34,-3.34,0.04,1
